Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,18073.35,216880.2,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),For web server,Amazon EC2 ,0,2312.448,27749.38,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t4g.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (6000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),For application server,Amazon EC2 ,0,3756,45072,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (m4.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (6000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),For web server,Application Load Balancer,0,483.63,5803.56,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,257.85,3094.2,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,340,4080,USD,,Data transfer out to internet (4000 GB per month)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,125.5,1506,USD,,"Hosted Zones (1), Basic Checks Within AWS (300)"
My Estimate,US East (N. Virginia),,S3 Standard,0,1150,13800,USD,,S3 Standard storage (50000 GB per month)
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,6614.4,79372.8,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (6000 GB), Quantity (2), Instance type (db.m2.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),For application server,Application Load Balancer,0,2352.43,28229.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Amazon ElastiCache,0,681.09,8173.08,USD,,"Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand), Nodes (3), Instance type (cache.m5.xlarge), Cache Engine (Redis), Utilization (On-Demand only) (100 %Utilized/Month), Cache Node Type (Standard), Pricing strategy (OnDemand)"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
,,,Changed:,,,,,,
,,,-Added ElastiCache to provide better performance,,,,,,
,,,-Increased capacity of EC2: from t3.large to t4g.xlarge for web server and from m4.large to m4.xlarge for application server, as well as double storage amount of them for better performance",,,,,,
,,,-Increased capacity of RDS: from db.m1.large to db.m2.4xlarge, as well as double storage amount of them for better performance",,,,,,
,,,-Increased the specs of Load Balancer,,,,,,
